County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes
ALAMANCE,11/3/15,2,10001,C,VILLAGE OF ALAMANCE MAYOR,Don Tichy,,1,27,2,0,0,29
ALAMANCE,11/3/15,2,10001,C,VILLAGE OF ALAMANCE MAYOR,Write-In (Miscellaneous),,1,1,0,0,0,1
ALAMANCE,11/3/15,2,10002,C,VILLAGE OF ALAMANCE ALDERMAN,Barry Crouse,,3,28,1,0,0,29
ALAMANCE,11/3/15,2,10002,C,VILLAGE OF ALAMANCE ALDERMAN,Daniel Tichy,,3,21,2,0,0,23
ALAMANCE,11/3/15,2,10002,C,VILLAGE OF ALAMANCE ALDERMAN,Tim Isley,,3,26,1,0,0,27
ALAMANCE,11/3/15,2,10002,C,VILLAGE OF ALAMANCE ALDERMAN,Write-In (Miscellaneous),,3,0,0,0,0,0
ALAMANCE,11/3/15,2,10003,C,VILLAGE OF ALAMANCE ALDERMAN (UNEXPIRED TERM),Ritchie Jones,,1,27,1,0,0,28
ALAMANCE,11/3/15,2,10003,C,VILLAGE OF ALAMANCE ALDERMAN (UNEXPIRED TERM),Write-In (Miscellaneous),,1,0,0,0,0,0
ALAMANCE,11/3/15,35,10005,C,TOWN OF ELON ALDERMAN,Jim Chanas,,3,17,0,1,0,18
ALAMANCE,11/3/15,03C,10005,C,TOWN OF ELON ALDERMAN,Jim Chanas,,3,5,2,0,0,7
ALAMANCE,11/3/15,03N2,10005,C,TOWN OF ELON ALDERMAN,Jim Chanas,,3,46,0,0,0,46
ALAMANCE,11/3/15,03N,10005,C,TOWN OF ELON ALDERMAN,Jim Chanas,,3,135,0,0,0,135
ALAMANCE,11/3/15,03N,10005,C,TOWN OF ELON ALDERMAN,"John A. Peterson, Jr.",,3,193,5,1,0,199
ALAMANCE,11/3/15,03N2,10005,C,TOWN OF ELON ALDERMAN,"John A. Peterson, Jr.",,3,79,1,0,0,80
ALAMANCE,11/3/15,03C,10005,C,TOWN OF ELON ALDERMAN,"John A. Peterson, Jr.",,3,8,0,2,0,10
ALAMANCE,11/3/15,35,10005,C,TOWN OF ELON ALDERMAN,"John A. Peterson, Jr.",,3,23,1,0,0,24
ALAMANCE,11/3/15,35,10005,C,TOWN OF ELON ALDERMAN,Mark H. Greene,,3,19,1,0,0,20
ALAMANCE,11/3/15,03C,10005,C,TOWN OF ELON ALDERMAN,Mark H. Greene,,3,7,2,2,0,11
ALAMANCE,11/3/15,03N2,10005,C,TOWN OF ELON ALDERMAN,Mark H. Greene,,3,79,1,0,0,80
ALAMANCE,11/3/15,03N,10005,C,TOWN OF ELON ALDERMAN,Mark H. Greene,,3,174,6,1,0,181
ALAMANCE,11/3/15,03N,10005,C,TOWN OF ELON ALDERMAN,Ron Klepcyk,,3,183,5,1,0,189
ALAMANCE,11/3/15,03N2,10005,C,TOWN OF ELON ALDERMAN,Ron Klepcyk,,3,80,1,0,0,81
ALAMANCE,11/3/15,03C,10005,C,TOWN OF ELON ALDERMAN,Ron Klepcyk,,3,12,2,2,0,16
ALAMANCE,11/3/15,35,10005,C,TOWN OF ELON ALDERMAN,Ron Klepcyk,,3,23,1,1,0,25
